#meta=>genome_binning=1Mb;interval_number=3106
#group=>group_id=NCIT:C60781;label=Astrocytoma;dataset_id=progenetix;sample_count=1714
group_id	reference_name	start	end	gain_frequency	loss_frequency	no
NCIT:C60781	1	0	400000	1.517	2.742	1
NCIT:C60781	1	400000	1400000	4.376	4.551	2
NCIT:C60781	1	1400000	2400000	4.784	4.492	3
NCIT:C60781	1	2400000	3400000	5.951	10.56	4
NCIT:C60781	1	3400000	4400000	6.009	10.327	5
NCIT:C60781	1	4400000	5400000	5.134	10.502	6
NCIT:C60781	1	5400000	6400000	5.076	9.685	7
NCIT:C60781	1	6400000	7400000	5.426	9.102	8
NCIT:C60781	1	7400000	8400000	5.659	9.743	9
NCIT:C60781	1	8400000	9400000	4.959	8.635	10
NCIT:C60781	1	9400000	10400000	5.134	10.56	11
NCIT:C60781	1	10400000	11400000	6.943	6.534	12
NCIT:C60781	1	11400000	12400000	6.184	6.126	13
NCIT:C60781	1	12400000	13400000	6.476	6.651	14
NCIT:C60781	1	13400000	14400000	6.359	6.126	15
NCIT:C60781	1	14400000	15400000	6.593	5.893	16
NCIT:C60781	1	15400000	16400000	6.826	6.009	17
NCIT:C60781	1	16400000	17400000	7.001	7.118	18
NCIT:C60781	1	17400000	18400000	6.768	6.009	19
NCIT:C60781	1	18400000	19400000	6.768	5.893	20
NCIT:C60781	1	19400000	20400000	6.593	5.893	21
NCIT:C60781	1	20400000	21400000	6.534	6.126	22
NCIT:C60781	1	21400000	22400000	6.709	6.184	23
NCIT:C60781	1	22400000	23400000	6.651	6.009	24
NCIT:C60781	1	23400000	24400000	7.001	6.826	25
NCIT:C60781	1	24400000	25400000	6.359	7.06	26
NCIT:C60781	1	25400000	26400000	6.359	6.768	27
NCIT:C60781	1	26400000	27400000	6.534	6.826	28
NCIT:C60781	1	27400000	28400000	6.068	5.834	29
NCIT:C60781	1	28400000	29400000	6.068	5.951	30
NCIT:C60781	1	29400000	30400000	6.126	6.184	31
NCIT:C60781	1	30400000	31400000	6.184	5.951	32
NCIT:C60781	1	31400000	32400000	6.184	5.543	33
NCIT:C60781	1	32400000	33400000	6.301	5.601	34
NCIT:C60781	1	33400000	34400000	6.243	5.601	35
NCIT:C60781	1	34400000	35400000	6.301	6.418	36
NCIT:C60781	1	35400000	36400000	6.301	5.718	37
NCIT:C60781	1	36400000	37400000	6.184	5.426	38
NCIT:C60781	1	37400000	38400000	6.009	4.959	39
NCIT:C60781	1	38400000	39400000	6.009	5.018	40
NCIT:C60781	1	39400000	40400000	6.943	5.134	41
NCIT:C60781	1	40400000	41400000	5.718	5.193	42
NCIT:C60781	1	41400000	42400000	5.659	5.018	43
NCIT:C60781	1	42400000	43400000	5.659	5.718	44
NCIT:C60781	1	43400000	44400000	5.834	4.842	45
NCIT:C60781	1	44400000	45400000	5.893	5.018	46
NCIT:C60781	1	45400000	46400000	6.126	5.076	47
NCIT:C60781	1	46400000	47400000	5.718	5.368	48
NCIT:C60781	1	47400000	48400000	5.659	5.834	49
NCIT:C60781	1	48400000	49400000	5.368	6.126	50
NCIT:C60781	1	49400000	50400000	5.134	5.601	51
NCIT:C60781	1	50400000	51400000	7.001	7.118	52
NCIT:C60781	1	51400000	52400000	5.776	5.426	53
NCIT:C60781	1	52400000	53400000	6.243	5.251	54
NCIT:C60781	1	53400000	54400000	6.243	5.309	55
NCIT:C60781	1	54400000	55400000	6.301	5.309	56
NCIT:C60781	1	55400000	56400000	5.951	5.018	57
NCIT:C60781	1	56400000	57400000	5.951	5.076	58
NCIT:C60781	1	57400000	58400000	5.951	5.018	59
NCIT:C60781	1	58400000	59400000	6.359	5.018	60
NCIT:C60781	1	59400000	60400000	5.368	4.726	61
NCIT:C60781	1	60400000	61400000	5.368	4.959	62
NCIT:C60781	1	61400000	62400000	5.251	5.309	63
NCIT:C60781	1	62400000	63400000	5.018	5.426	64
NCIT:C60781	1	63400000	64400000	4.784	5.134	65
NCIT:C60781	1	64400000	65400000	4.842	5.134	66
NCIT:C60781	1	65400000	66400000	4.901	5.018	67
NCIT:C60781	1	66400000	67400000	4.901	4.959	68
NCIT:C60781	1	67400000	68400000	4.551	4.959	69
NCIT:C60781	1	68400000	69400000	4.551	4.901	70
NCIT:C60781	1	69400000	70400000	4.726	5.076	71
NCIT:C60781	1	70400000	71400000	4.784	5.426	72
NCIT:C60781	1	71400000	72400000	4.959	5.951	73
NCIT:C60781	1	72400000	73400000	4.726	5.018	74
NCIT:C60781	1	73400000	74400000	4.551	5.484	75
NCIT:C60781	1	74400000	75400000	4.726	5.776	76
NCIT:C60781	1	75400000	76400000	4.609	5.484	77
NCIT:C60781	1	76400000	77400000	4.551	5.251	78
NCIT:C60781	1	77400000	78400000	4.667	5.659	79
NCIT:C60781	1	78400000	79400000	4.376	5.601	80
NCIT:C60781	1	79400000	80400000	4.376	5.543	81
NCIT:C60781	1	80400000	81400000	4.434	5.601	82
NCIT:C60781	1	81400000	82400000	4.376	5.601	83
NCIT:C60781	1	82400000	83400000	4.551	5.834	84
NCIT:C60781	1	83400000	84400000	4.492	5.543	85
NCIT:C60781	1	84400000	85400000	4.434	6.126	86
NCIT:C60781	1	85400000	86400000	4.376	5.484	87
NCIT:C60781	1	86400000	87400000	4.259	5.718	88
NCIT:C60781	1	87400000	88400000	4.259	5.193	89
NCIT:C60781	1	88400000	89400000	4.259	5.368	90
NCIT:C60781	1	89400000	90400000	4.317	5.193	91
NCIT:C60781	1	90400000	91400000	4.317	5.309	92
NCIT:C60781	1	91400000	92400000	4.259	5.484	93
NCIT:C60781	1	92400000	93400000	4.376	5.601	94
NCIT:C60781	1	93400000	94400000	4.317	5.368	95
NCIT:C60781	1	94400000	95400000	4.317	5.193	96
NCIT:C60781	1	95400000	96400000	4.201	5.193	97
NCIT:C60781	1	96400000	97400000	4.259	5.134	98
NCIT:C60781	1	97400000	98400000	4.317	5.368	99
NCIT:C60781	1	98400000	99400000	4.142	5.076	100
NCIT:C60781	1	99400000	100400000	4.142	4.959	101
NCIT:C60781	1	100400000	101400000	4.142	5.076	102
NCIT:C60781	1	101400000	102400000	4.026	5.076	103
NCIT:C60781	1	102400000	103400000	3.967	4.959	104
NCIT:C60781	1	103400000	104400000	4.259	5.834	105
NCIT:C60781	1	104400000	105400000	3.909	5.076	106
NCIT:C60781	1	105400000	106400000	4.667	5.134	107
NCIT:C60781	1	106400000	107400000	4.084	5.018	108
NCIT:C60781	1	107400000	108400000	4.201	4.959	109
NCIT:C60781	1	108400000	109400000	4.784	5.426	110
NCIT:C60781	1	109400000	110400000	5.309	4.959	111
NCIT:C60781	1	110400000	111400000	4.726	4.842	112
NCIT:C60781	1	111400000	112400000	4.551	5.193	113
NCIT:C60781	1	112400000	113400000	4.492	5.426	114
