#meta=>genome_binning=1Mb;interval_number=3106
#group=>group_id=NCIT:C4872;label=Breast Carcinoma;dataset_id=progenetix;sample_count=15643
group_id	reference_name	start	end	gain_frequency	loss_frequency	no
NCIT:C4872	1	0	400000	6.5	5.273	1
NCIT:C4872	1	400000	1400000	8.3	10.62	2
NCIT:C4872	1	1400000	2400000	6.413	12.307	3
NCIT:C4872	1	2400000	3400000	8.333	23.427	4
NCIT:C4872	1	3400000	4400000	6.68	22.393	5
NCIT:C4872	1	4400000	5400000	5.227	22.44	6
NCIT:C4872	1	5400000	6400000	5.513	22.607	7
NCIT:C4872	1	6400000	7400000	5.44	22.507	8
NCIT:C4872	1	7400000	8400000	5.473	22.64	9
NCIT:C4872	1	8400000	9400000	4.993	22.133	10
NCIT:C4872	1	9400000	10400000	4.687	23.013	11
NCIT:C4872	1	10400000	11400000	4.813	22.873	12
NCIT:C4872	1	11400000	12400000	4.793	22.407	13
NCIT:C4872	1	12400000	13400000	6.033	23.153	14
NCIT:C4872	1	13400000	14400000	4.66	23.04	15
NCIT:C4872	1	14400000	15400000	4.853	22.447	16
NCIT:C4872	1	15400000	16400000	5.767	22.573	17
NCIT:C4872	1	16400000	17400000	7.193	22.993	18
NCIT:C4872	1	17400000	18400000	4.753	21.567	19
NCIT:C4872	1	18400000	19400000	4.96	21.607	20
NCIT:C4872	1	19400000	20400000	4.927	21.793	21
NCIT:C4872	1	20400000	21400000	4.947	21.647	22
NCIT:C4872	1	21400000	22400000	5.653	21.667	23
NCIT:C4872	1	22400000	23400000	5.22	21.1	24
NCIT:C4872	1	23400000	24400000	5.3	21.593	25
NCIT:C4872	1	24400000	25400000	5.407	23.06	26
NCIT:C4872	1	25400000	26400000	5.14	21.747	27
NCIT:C4872	1	26400000	27400000	5.327	21.873	28
NCIT:C4872	1	27400000	28400000	5.413	20.213	29
NCIT:C4872	1	28400000	29400000	5.627	19.06	30
NCIT:C4872	1	29400000	30400000	5.967	18.753	31
NCIT:C4872	1	30400000	31400000	6.82	18.147	32
NCIT:C4872	1	31400000	32400000	7.46	17.193	33
NCIT:C4872	1	32400000	33400000	7.267	16.74	34
NCIT:C4872	1	33400000	34400000	7.227	16.513	35
NCIT:C4872	1	34400000	35400000	7.52	16.68	36
NCIT:C4872	1	35400000	36400000	7.9	15.873	37
NCIT:C4872	1	36400000	37400000	8.213	15.707	38
NCIT:C4872	1	37400000	38400000	8.553	14.727	39
NCIT:C4872	1	38400000	39400000	8.993	14.24	40
NCIT:C4872	1	39400000	40400000	9.887	14.18	41
NCIT:C4872	1	40400000	41400000	9.76	13.913	42
NCIT:C4872	1	41400000	42400000	9.74	13.653	43
NCIT:C4872	1	42400000	43400000	10.08	13.853	44
NCIT:C4872	1	43400000	44400000	10.16	13.693	45
NCIT:C4872	1	44400000	45400000	9.627	13.933	46
NCIT:C4872	1	45400000	46400000	9.907	14.713	47
NCIT:C4872	1	46400000	47400000	8.84	14.113	48
NCIT:C4872	1	47400000	48400000	8.613	14.14	49
NCIT:C4872	1	48400000	49400000	8.4	14.1	50
NCIT:C4872	1	49400000	50400000	8.307	14.193	51
NCIT:C4872	1	50400000	51400000	9.313	14.673	52
NCIT:C4872	1	51400000	52400000	9.14	14.28	53
NCIT:C4872	1	52400000	53400000	9.533	14.527	54
NCIT:C4872	1	53400000	54400000	9.5	14.287	55
NCIT:C4872	1	54400000	55400000	9.593	14.733	56
NCIT:C4872	1	55400000	56400000	9.32	14.587	57
NCIT:C4872	1	56400000	57400000	9.327	14.873	58
NCIT:C4872	1	57400000	58400000	9.32	15.207	59
NCIT:C4872	1	58400000	59400000	9.52	15.02	60
NCIT:C4872	1	59400000	60400000	8.667	14.753	61
NCIT:C4872	1	60400000	61400000	9.14	14.827	62
NCIT:C4872	1	61400000	62400000	9.12	15.147	63
NCIT:C4872	1	62400000	63400000	8.567	14.853	64
NCIT:C4872	1	63400000	64400000	8.467	15.213	65
NCIT:C4872	1	64400000	65400000	9.04	15.553	66
NCIT:C4872	1	65400000	66400000	8.54	15.527	67
NCIT:C4872	1	66400000	67400000	8.173	15.573	68
NCIT:C4872	1	67400000	68400000	8.187	15.633	69
NCIT:C4872	1	68400000	69400000	7.72	15.627	70
NCIT:C4872	1	69400000	70400000	8.213	15.88	71
NCIT:C4872	1	70400000	71400000	10.34	16.4	72
NCIT:C4872	1	71400000	72400000	13.173	19.02	73
NCIT:C4872	1	72400000	73400000	7.793	16.327	74
NCIT:C4872	1	73400000	74400000	7.68	16.247	75
NCIT:C4872	1	74400000	75400000	7.907	16.447	76
NCIT:C4872	1	75400000	76400000	8.14	16.387	77
NCIT:C4872	1	76400000	77400000	8.187	16.133	78
NCIT:C4872	1	77400000	78400000	8.373	16.327	79
NCIT:C4872	1	78400000	79400000	8.1	16.267	80
NCIT:C4872	1	79400000	80400000	7.987	16.833	81
NCIT:C4872	1	80400000	81400000	7.96	16.473	82
NCIT:C4872	1	81400000	82400000	7.947	16.627	83
NCIT:C4872	1	82400000	83400000	8.047	17.227	84
NCIT:C4872	1	83400000	84400000	8.713	17.007	85
NCIT:C4872	1	84400000	85400000	8.52	17.0	86
NCIT:C4872	1	85400000	86400000	8.467	16.793	87
NCIT:C4872	1	86400000	87400000	8.24	17.027	88
NCIT:C4872	1	87400000	88400000	8.053	16.773	89
NCIT:C4872	1	88400000	89400000	8.227	16.94	90
NCIT:C4872	1	89400000	90400000	8.207	16.633	91
NCIT:C4872	1	90400000	91400000	8.26	16.653	92
NCIT:C4872	1	91400000	92400000	8.4	16.793	93
NCIT:C4872	1	92400000	93400000	8.487	16.687	94
NCIT:C4872	1	93400000	94400000	9.367	16.687	95
NCIT:C4872	1	94400000	95400000	9.433	16.6	96
NCIT:C4872	1	95400000	96400000	8.393	16.733	97
NCIT:C4872	1	96400000	97400000	8.16	16.573	98
NCIT:C4872	1	97400000	98400000	8.053	16.733	99
NCIT:C4872	1	98400000	99400000	8.127	16.787	100
NCIT:C4872	1	99400000	100400000	8.24	16.72	101
NCIT:C4872	1	100400000	101400000	8.26	16.8	102
NCIT:C4872	1	101400000	102400000	8.213	16.9	103
NCIT:C4872	1	102400000	103400000	8.42	16.853	104
NCIT:C4872	1	103400000	104400000	9.72	17.673	105
NCIT:C4872	1	104400000	105400000	8.733	16.427	106
NCIT:C4872	1	105400000	106400000	9.96	16.707	107
NCIT:C4872	1	106400000	107400000	9.593	16.167	108
NCIT:C4872	1	107400000	108400000	9.887	16.013	109
NCIT:C4872	1	108400000	109400000	10.113	15.607	110
NCIT:C4872	1	109400000	110400000	12.253	16.4	111
NCIT:C4872	1	110400000	111400000	10.06	15.427	112
NCIT:C4872	1	111400000	112400000	10.033	16.34	113
NCIT:C4872	1	112400000	113400000	10.387	14.587	114
NCIT:C4872	1	113400000	114400000	10.84	14.047	115
