#meta=>genome_binning=1Mb;interval_number=3106
#group=>group_id=NCIT:C3798;label=Malignant Peripheral Nerve Sheath Tumor;dataset_id=progenetix;sample_count=268
group_id	reference_name	start	end	gain_frequency	loss_frequency	no
NCIT:C3798	1	0	400000	2.612	7.09	1
NCIT:C3798	1	400000	1400000	3.358	13.806	2
NCIT:C3798	1	1400000	2400000	3.731	13.06	3
NCIT:C3798	1	2400000	3400000	6.343	21.642	4
NCIT:C3798	1	3400000	4400000	5.597	20.149	5
NCIT:C3798	1	4400000	5400000	6.343	21.269	6
NCIT:C3798	1	5400000	6400000	7.463	20.522	7
NCIT:C3798	1	6400000	7400000	7.09	20.896	8
NCIT:C3798	1	7400000	8400000	6.716	21.269	9
NCIT:C3798	1	8400000	9400000	6.716	19.403	10
NCIT:C3798	1	9400000	10400000	7.463	21.269	11
NCIT:C3798	1	10400000	11400000	7.09	20.522	12
NCIT:C3798	1	11400000	12400000	7.463	19.776	13
NCIT:C3798	1	12400000	13400000	8.209	19.776	14
NCIT:C3798	1	13400000	14400000	8.209	19.03	15
NCIT:C3798	1	14400000	15400000	8.582	18.657	16
NCIT:C3798	1	15400000	16400000	9.701	19.03	17
NCIT:C3798	1	16400000	17400000	9.328	19.776	18
NCIT:C3798	1	17400000	18400000	7.463	19.403	19
NCIT:C3798	1	18400000	19400000	7.836	19.403	20
NCIT:C3798	1	19400000	20400000	7.463	20.149	21
NCIT:C3798	1	20400000	21400000	7.463	19.776	22
NCIT:C3798	1	21400000	22400000	8.209	20.149	23
NCIT:C3798	1	22400000	23400000	8.209	20.149	24
NCIT:C3798	1	23400000	24400000	7.836	20.522	25
NCIT:C3798	1	24400000	25400000	7.463	20.149	26
NCIT:C3798	1	25400000	26400000	7.463	20.149	27
NCIT:C3798	1	26400000	27400000	7.836	20.149	28
NCIT:C3798	1	27400000	28400000	7.463	20.896	29
NCIT:C3798	1	28400000	29400000	7.09	20.149	30
NCIT:C3798	1	29400000	30400000	7.09	19.403	31
NCIT:C3798	1	30400000	31400000	7.463	18.657	32
NCIT:C3798	1	31400000	32400000	7.463	18.657	33
NCIT:C3798	1	32400000	33400000	7.463	18.657	34
NCIT:C3798	1	33400000	34400000	7.09	19.03	35
NCIT:C3798	1	34400000	35400000	6.716	19.776	36
NCIT:C3798	1	35400000	36400000	6.716	20.149	37
NCIT:C3798	1	36400000	37400000	7.09	20.522	38
NCIT:C3798	1	37400000	38400000	7.09	20.896	39
NCIT:C3798	1	38400000	39400000	6.716	20.149	40
NCIT:C3798	1	39400000	40400000	6.716	21.269	41
NCIT:C3798	1	40400000	41400000	7.09	21.269	42
NCIT:C3798	1	41400000	42400000	7.09	20.896	43
NCIT:C3798	1	42400000	43400000	6.716	21.642	44
NCIT:C3798	1	43400000	44400000	6.343	20.896	45
NCIT:C3798	1	44400000	45400000	7.09	20.522	46
NCIT:C3798	1	45400000	46400000	7.09	20.896	47
NCIT:C3798	1	46400000	47400000	6.343	20.149	48
NCIT:C3798	1	47400000	48400000	6.343	20.149	49
NCIT:C3798	1	48400000	49400000	6.343	20.149	50
NCIT:C3798	1	49400000	50400000	5.97	20.522	51
NCIT:C3798	1	50400000	51400000	7.836	22.015	52
NCIT:C3798	1	51400000	52400000	7.463	20.522	53
NCIT:C3798	1	52400000	53400000	7.463	20.896	54
NCIT:C3798	1	53400000	54400000	7.09	20.522	55
NCIT:C3798	1	54400000	55400000	7.463	20.522	56
NCIT:C3798	1	55400000	56400000	8.209	19.776	57
NCIT:C3798	1	56400000	57400000	7.836	19.403	58
NCIT:C3798	1	57400000	58400000	7.836	19.03	59
NCIT:C3798	1	58400000	59400000	8.582	19.403	60
NCIT:C3798	1	59400000	60400000	5.97	18.657	61
NCIT:C3798	1	60400000	61400000	7.463	23.134	62
NCIT:C3798	1	61400000	62400000	7.463	21.642	63
NCIT:C3798	1	62400000	63400000	7.463	21.642	64
NCIT:C3798	1	63400000	64400000	7.463	22.015	65
NCIT:C3798	1	64400000	65400000	7.463	23.134	66
NCIT:C3798	1	65400000	66400000	7.463	23.134	67
NCIT:C3798	1	66400000	67400000	7.463	22.761	68
NCIT:C3798	1	67400000	68400000	7.463	22.761	69
NCIT:C3798	1	68400000	69400000	7.463	22.761	70
NCIT:C3798	1	69400000	70400000	7.09	22.015	71
NCIT:C3798	1	70400000	71400000	7.09	21.642	72
NCIT:C3798	1	71400000	72400000	6.716	22.015	73
NCIT:C3798	1	72400000	73400000	7.09	22.015	74
NCIT:C3798	1	73400000	74400000	7.09	21.642	75
NCIT:C3798	1	74400000	75400000	7.463	21.642	76
NCIT:C3798	1	75400000	76400000	7.463	21.642	77
NCIT:C3798	1	76400000	77400000	7.463	21.642	78
NCIT:C3798	1	77400000	78400000	7.836	21.642	79
NCIT:C3798	1	78400000	79400000	7.836	21.269	80
NCIT:C3798	1	79400000	80400000	7.463	21.269	81
NCIT:C3798	1	80400000	81400000	7.09	21.269	82
NCIT:C3798	1	81400000	82400000	7.09	21.269	83
NCIT:C3798	1	82400000	83400000	7.09	22.015	84
NCIT:C3798	1	83400000	84400000	6.343	22.015	85
NCIT:C3798	1	84400000	85400000	7.463	23.134	86
NCIT:C3798	1	85400000	86400000	6.716	22.388	87
NCIT:C3798	1	86400000	87400000	6.716	22.388	88
NCIT:C3798	1	87400000	88400000	6.343	22.388	89
NCIT:C3798	1	88400000	89400000	6.343	22.015	90
NCIT:C3798	1	89400000	90400000	6.716	22.015	91
NCIT:C3798	1	90400000	91400000	6.343	22.015	92
NCIT:C3798	1	91400000	92400000	5.97	22.388	93
NCIT:C3798	1	92400000	93400000	5.597	22.388	94
NCIT:C3798	1	93400000	94400000	5.597	22.388	95
NCIT:C3798	1	94400000	95400000	6.343	22.388	96
NCIT:C3798	1	95400000	96400000	6.343	21.269	97
NCIT:C3798	1	96400000	97400000	6.343	20.522	98
NCIT:C3798	1	97400000	98400000	6.716	20.522	99
NCIT:C3798	1	98400000	99400000	6.343	20.522	100
NCIT:C3798	1	99400000	100400000	6.343	20.522	101
NCIT:C3798	1	100400000	101400000	6.343	20.522	102
NCIT:C3798	1	101400000	102400000	6.343	20.896	103
NCIT:C3798	1	102400000	103400000	7.09	20.522	104
NCIT:C3798	1	103400000	104400000	7.463	20.896	105
NCIT:C3798	1	104400000	105400000	6.343	20.896	106
NCIT:C3798	1	105400000	106400000	6.343	21.269	107
NCIT:C3798	1	106400000	107400000	6.343	20.896	108
NCIT:C3798	1	107400000	108400000	5.597	20.896	109
NCIT:C3798	1	108400000	109400000	5.224	21.269	110
NCIT:C3798	1	109400000	110400000	5.224	21.642	111
NCIT:C3798	1	110400000	111400000	5.224	20.896	112
NCIT:C3798	1	111400000	112400000	5.224	21.269	113
NCIT:C3798	1	112400000	113400000	5.224	20.149	114
NCIT:C3798	1	113400000	114400000	5.224	19.03	115
NCIT:C3798	1	114400000	115400000	5.597	19.403	116
NCIT:C3798	1	115400000	116400000	5.224	19.03	117
NCIT:C3798	1	116400000	117400000	5.97	19.776	118
NCIT:C3798	1	117400000	118400000	6.716	19.403	119
NCIT:C3798	1	118400000	119400000	7.09	16.045	120
NCIT:C3798	1	119400000	120400000	16.045	16.418	121
NCIT:C3798	1	120400000	121400000	15.672	10.448	122
NCIT:C3798	1	121400000	122400000	13.806	5.97	123
NCIT:C3798	1	122400000	123400000	13.806	5.97	124
NCIT:C3798	1	123400000	124400000	16.045	5.97	125
NCIT:C3798	1	124400000	125400000	16.045	4.851	126
NCIT:C3798	1	125400000	126400000	16.045	4.851	127
NCIT:C3798	1	126400000	127400000	16.045	4.851	128
NCIT:C3798	1	127400000	128400000	16.045	4.851	129
NCIT:C3798	1	128400000	129400000	16.045	4.478	130
NCIT:C3798	1	129400000	130400000	16.045	4.478	131
NCIT:C3798	1	130400000	131400000	16.045	4.478	132
NCIT:C3798	1	131400000	132400000	16.045	4.478	133
NCIT:C3798	1	132400000	133400000	16.045	4.478	134
NCIT:C3798	1	133400000	134400000	16.045	4.478	135
NCIT:C3798	1	134400000	135400000	16.045	4.478	136
NCIT:C3798	1	135400000	136400000	16.045	4.478	137
NCIT:C3798	1	136400000	137400000	16.045	4.478	138
NCIT:C3798	1	137400000	138400000	16.045	4.478	139
NCIT:C3798	1	138400000	139400000	16.045	4.478	140
NCIT:C3798	1	139400000	140400000	16.045	4.478	141
NCIT:C3798	1	140400000	141400000	16.045	4.478	142
NCIT:C3798	1	141400000	142400000	16.045	4.478	143
NCIT:C3798	1	142400000	143400000	21.642	4.478	144
NCIT:C3798	1	143400000	144400000	22.015	4.478	145
NCIT:C3798	1	144400000	145400000	22.015	4.478	146
NCIT:C3798	1	145400000	146400000	22.015	4.851	147
NCIT:C3798	1	146400000	147400000	21.642	4.851	148
NCIT:C3798	1	147400000	148400000	22.761	4.851	149
NCIT:C3798	1	148400000	149400000	23.507	4.104	150
NCIT:C3798	1	149400000	150400000	23.134	4.478	151
NCIT:C3798	1	150400000	151400000	21.269	4.104	152
NCIT:C3798	1	151400000	152400000	21.642	2.985	153
NCIT:C3798	1	152400000	153400000	22.388	4.851	154
NCIT:C3798	1	153400000	154400000	22.761	4.104	155
NCIT:C3798	1	154400000	155400000	25.0	3.358	156
NCIT:C3798	1	155400000	156400000	24.627	3.358	157
NCIT:C3798	1	156400000	157400000	23.507	4.478	158
NCIT:C3798	1	157400000	158400000	23.881	4.851	159
NCIT:C3798	1	158400000	159400000	23.134	4.851	160
NCIT:C3798	1	159400000	160400000	23.507	3.731	161
NCIT:C3798	1	160400000	161400000	23.134	4.851	162
NCIT:C3798	1	161400000	162400000	23.134	4.104	163
NCIT:C3798	1	162400000	163400000	23.134	4.104	164
NCIT:C3798	1	163400000	164400000	23.507	3.358	165
NCIT:C3798	1	164400000	165400000	23.881	3.358	166
NCIT:C3798	1	165400000	166400000	23.881	3.358	167
NCIT:C3798	1	166400000	167400000	23.507	3.358	168
NCIT:C3798	1	167400000	168400000	23.507	3.731	169
NCIT:C3798	1	168400000	169400000	23.507	3.731	170
NCIT:C3798	1	169400000	170400000	23.507	3.358	171
NCIT:C3798	1	170400000	171400000	24.254	3.358	172
NCIT:C3798	1	171400000	172400000	24.627	3.358	173
NCIT:C3798	1	172400000	173400000	25.0	3.731	174
NCIT:C3798	1	173400000	174400000	24.254	3.731	175
NCIT:C3798	1	174400000	175400000	24.254	4.104	176
NCIT:C3798	1	175400000	176400000	23.881	4.478	177
NCIT:C3798	1	176400000	177400000	23.134	4.104	178
NCIT:C3798	1	177400000	178400000	23.507	4.104	179
NCIT:C3798	1	178400000	179400000	23.507	4.478	180
NCIT:C3798	1	179400000	180400000	23.134	5.224	181
NCIT:C3798	1	180400000	181400000	24.254	4.104	182
NCIT:C3798	1	181400000	182400000	23.881	4.104	183
NCIT:C3798	1	182400000	183400000	23.881	3.731	184
NCIT:C3798	1	183400000	184400000	24.254	4.104	185
