#meta=>genome_binning=1Mb;interval_number=3106
#group=>group_id=NCIT:C3224;label=Melanoma;dataset_id=progenetix;sample_count=2855
group_id	reference_name	start	end	gain_frequency	loss_frequency	no
NCIT:C3224	1	0	400000	7.215	6.235	1
NCIT:C3224	1	400000	1400000	15.342	7.776	2
NCIT:C3224	1	1400000	2400000	15.517	8.441	3
NCIT:C3224	1	2400000	3400000	19.895	14.571	4
NCIT:C3224	1	3400000	4400000	17.618	15.131	5
NCIT:C3224	1	4400000	5400000	16.392	15.622	6
NCIT:C3224	1	5400000	6400000	17.093	15.797	7
NCIT:C3224	1	6400000	7400000	17.198	15.377	8
NCIT:C3224	1	7400000	8400000	17.093	15.026	9
NCIT:C3224	1	8400000	9400000	16.848	14.571	10
NCIT:C3224	1	9400000	10400000	17.163	14.291	11
NCIT:C3224	1	10400000	11400000	17.198	14.291	12
NCIT:C3224	1	11400000	12400000	17.023	13.835	13
NCIT:C3224	1	12400000	13400000	18.109	14.536	14
NCIT:C3224	1	13400000	14400000	16.743	13.94	15
NCIT:C3224	1	14400000	15400000	17.373	13.66	16
NCIT:C3224	1	15400000	16400000	17.758	13.625	17
NCIT:C3224	1	16400000	17400000	18.074	15.166	18
NCIT:C3224	1	17400000	18400000	16.532	13.52	19
NCIT:C3224	1	18400000	19400000	16.637	13.8	20
NCIT:C3224	1	19400000	20400000	16.602	13.835	21
NCIT:C3224	1	20400000	21400000	16.637	14.151	22
NCIT:C3224	1	21400000	22400000	16.848	13.66	23
NCIT:C3224	1	22400000	23400000	16.567	13.31	24
NCIT:C3224	1	23400000	24400000	16.602	14.466	25
NCIT:C3224	1	24400000	25400000	17.268	15.937	26
NCIT:C3224	1	25400000	26400000	16.322	13.87	27
NCIT:C3224	1	26400000	27400000	16.743	13.87	28
NCIT:C3224	1	27400000	28400000	16.708	12.644	29
NCIT:C3224	1	28400000	29400000	16.567	13.065	30
NCIT:C3224	1	29400000	30400000	16.042	13.555	31
NCIT:C3224	1	30400000	31400000	16.252	13.345	32
NCIT:C3224	1	31400000	32400000	16.217	12.925	33
NCIT:C3224	1	32400000	33400000	16.112	12.925	34
NCIT:C3224	1	33400000	34400000	15.692	13.275	35
NCIT:C3224	1	34400000	35400000	15.552	14.186	36
NCIT:C3224	1	35400000	36400000	15.692	12.574	37
NCIT:C3224	1	36400000	37400000	15.482	12.715	38
NCIT:C3224	1	37400000	38400000	15.026	12.609	39
NCIT:C3224	1	38400000	39400000	15.201	13.17	40
NCIT:C3224	1	39400000	40400000	15.096	13.17	41
NCIT:C3224	1	40400000	41400000	14.886	12.925	42
NCIT:C3224	1	41400000	42400000	14.886	12.785	43
NCIT:C3224	1	42400000	43400000	14.886	12.715	44
NCIT:C3224	1	43400000	44400000	15.271	12.224	45
NCIT:C3224	1	44400000	45400000	14.746	12.469	46
NCIT:C3224	1	45400000	46400000	15.201	12.644	47
NCIT:C3224	1	46400000	47400000	14.501	12.189	48
NCIT:C3224	1	47400000	48400000	14.606	12.399	49
NCIT:C3224	1	48400000	49400000	13.94	12.68	50
NCIT:C3224	1	49400000	50400000	13.625	13.03	51
NCIT:C3224	1	50400000	51400000	14.641	12.995	52
NCIT:C3224	1	51400000	52400000	14.081	12.715	53
NCIT:C3224	1	52400000	53400000	14.816	12.785	54
NCIT:C3224	1	53400000	54400000	14.116	12.644	55
NCIT:C3224	1	54400000	55400000	14.326	13.275	56
NCIT:C3224	1	55400000	56400000	13.765	13.24	57
NCIT:C3224	1	56400000	57400000	13.835	13.695	58
NCIT:C3224	1	57400000	58400000	13.765	14.046	59
NCIT:C3224	1	58400000	59400000	14.501	13.94	60
NCIT:C3224	1	59400000	60400000	13.765	13.87	61
NCIT:C3224	1	60400000	61400000	13.695	14.011	62
NCIT:C3224	1	61400000	62400000	14.116	14.081	63
NCIT:C3224	1	62400000	63400000	14.151	13.765	64
NCIT:C3224	1	63400000	64400000	14.046	14.151	65
NCIT:C3224	1	64400000	65400000	14.431	14.466	66
NCIT:C3224	1	65400000	66400000	13.38	14.326	67
NCIT:C3224	1	66400000	67400000	13.275	14.431	68
NCIT:C3224	1	67400000	68400000	13.345	14.746	69
NCIT:C3224	1	68400000	69400000	13.03	14.921	70
