#meta=>genome_binning=1Mb;interval_number=3106
#group=>#group=>;group_id=NCIT:C8294;label=Pancreatic Adenocarcinoma;dataset_id=progenetix;sample_count=3866
group_id	reference_name	start	end	gain_frequency	loss_frequency	no
NCIT:C8294	1	0	400000	1.888	2.406	1
NCIT:C8294	1	400000	1400000	3.052	5.949	2
NCIT:C8294	1	1400000	2400000	2.716	6.311	3
NCIT:C8294	1	2400000	3400000	6.518	18.158	4
NCIT:C8294	1	3400000	4400000	4.578	18.107	5
NCIT:C8294	1	4400000	5400000	4.527	18.598	6
NCIT:C8294	1	5400000	6400000	4.165	18.314	7
NCIT:C8294	1	6400000	7400000	4.242	18.805	8
NCIT:C8294	1	7400000	8400000	6.751	19.038	9
NCIT:C8294	1	8400000	9400000	4.578	17.9	10
NCIT:C8294	1	9400000	10400000	4.785	19.426	11
NCIT:C8294	1	10400000	11400000	4.061	19.529	12
NCIT:C8294	1	11400000	12400000	3.699	19.348	13
NCIT:C8294	1	12400000	13400000	3.621	19.348	14
NCIT:C8294	1	13400000	14400000	3.518	19.633	15
NCIT:C8294	1	14400000	15400000	3.932	19.296	16
NCIT:C8294	1	15400000	16400000	4.216	19.659	17
NCIT:C8294	1	16400000	17400000	3.751	20.486	18
NCIT:C8294	1	17400000	18400000	3.104	20.253	19
NCIT:C8294	1	18400000	19400000	3.156	20.279	20
NCIT:C8294	1	19400000	20400000	3.13	20.59	21
NCIT:C8294	1	20400000	21400000	3.001	20.641	22
NCIT:C8294	1	21400000	22400000	3.363	21.754	23
NCIT:C8294	1	22400000	23400000	2.794	21.004	24
NCIT:C8294	1	23400000	24400000	3.104	26.487	25
NCIT:C8294	1	24400000	25400000	2.742	25.996	26
NCIT:C8294	1	25400000	26400000	2.69	26.255	27
NCIT:C8294	1	26400000	27400000	2.664	27.91	28
NCIT:C8294	1	27400000	28400000	2.509	22.271	29
NCIT:C8294	1	28400000	29400000	2.406	20.072	30
NCIT:C8294	1	29400000	30400000	2.509	20.15	31
NCIT:C8294	1	30400000	31400000	2.587	17.305	32
NCIT:C8294	1	31400000	32400000	2.819	16.994	33
NCIT:C8294	1	32400000	33400000	2.897	16.529	34
NCIT:C8294	1	33400000	34400000	2.768	16.296	35
NCIT:C8294	1	34400000	35400000	3.57	16.348	36
NCIT:C8294	1	35400000	36400000	4.423	15.598	37
NCIT:C8294	1	36400000	37400000	4.242	15.598	38
NCIT:C8294	1	37400000	38400000	4.19	14.304	39
NCIT:C8294	1	38400000	39400000	4.656	14.071	40
NCIT:C8294	1	39400000	40400000	5.38	13.839	41
NCIT:C8294	1	40400000	41400000	4.811	13.528	42
NCIT:C8294	1	41400000	42400000	4.837	13.347	43
NCIT:C8294	1	42400000	43400000	5.044	13.761	44
NCIT:C8294	1	43400000	44400000	4.449	13.476	45
NCIT:C8294	1	44400000	45400000	4.656	13.864	46
NCIT:C8294	1	45400000	46400000	4.734	14.02	47
NCIT:C8294	1	46400000	47400000	3.88	13.735	48
NCIT:C8294	1	47400000	48400000	3.544	13.709	49
NCIT:C8294	1	48400000	49400000	3.466	13.528	50
NCIT:C8294	1	49400000	50400000	3.207	13.502	51
NCIT:C8294	1	50400000	51400000	5.484	14.33	52
NCIT:C8294	1	51400000	52400000	4.889	13.994	53
NCIT:C8294	1	52400000	53400000	4.966	14.278	54
NCIT:C8294	1	53400000	54400000	4.837	14.046	55
NCIT:C8294	1	54400000	55400000	4.889	14.175	56
NCIT:C8294	1	55400000	56400000	4.604	14.278	57
NCIT:C8294	1	56400000	57400000	4.604	14.382	58
NCIT:C8294	1	57400000	58400000	4.63	14.304	59
NCIT:C8294	1	58400000	59400000	5.923	14.925	60
NCIT:C8294	1	59400000	60400000	3.078	14.434	61
NCIT:C8294	1	60400000	61400000	3.259	14.589	62
NCIT:C8294	1	61400000	62400000	3.285	14.511	63
NCIT:C8294	1	62400000	63400000	3.182	14.408	64
NCIT:C8294	1	63400000	64400000	3.104	14.537	65
NCIT:C8294	1	64400000	65400000	3.207	14.873	66
NCIT:C8294	1	65400000	66400000	2.871	14.822	67
NCIT:C8294	1	66400000	67400000	2.742	14.873	68
