#meta=>genome_binning=1Mb;interval_number=3106
#group=>#group=>;group_id=NCIT:C3242;label=Multiple Myeloma;dataset_id=progenetix;sample_count=320
group_id	reference_name	start	end	gain_frequency	loss_frequency	no
NCIT:C3242	1	0	400000	4.688	3.125	1
NCIT:C3242	1	400000	1400000	7.812	4.062	2
NCIT:C3242	1	1400000	2400000	8.75	5.312	3
NCIT:C3242	1	2400000	3400000	6.562	6.25	4
NCIT:C3242	1	3400000	4400000	6.875	5.625	5
NCIT:C3242	1	4400000	5400000	6.25	5.938	6
NCIT:C3242	1	5400000	6400000	6.25	5.938	7
NCIT:C3242	1	6400000	7400000	6.25	5.625	8
NCIT:C3242	1	7400000	8400000	6.25	5.625	9
NCIT:C3242	1	8400000	9400000	6.25	5.938	10
NCIT:C3242	1	9400000	10400000	6.25	5.625	11
NCIT:C3242	1	10400000	11400000	6.25	6.25	12
NCIT:C3242	1	11400000	12400000	5.625	5.312	13
NCIT:C3242	1	12400000	13400000	5.938	7.188	14
NCIT:C3242	1	13400000	14400000	5.938	5.625	15
NCIT:C3242	1	14400000	15400000	5.625	5.938	16
NCIT:C3242	1	15400000	16400000	5.0	6.25	17
NCIT:C3242	1	16400000	17400000	6.562	7.188	18
NCIT:C3242	1	17400000	18400000	5.0	5.625	19
NCIT:C3242	1	18400000	19400000	5.312	5.312	20
NCIT:C3242	1	19400000	20400000	5.0	5.312	21
NCIT:C3242	1	20400000	21400000	5.0	5.312	22
NCIT:C3242	1	21400000	22400000	5.0	7.5	23
NCIT:C3242	1	22400000	23400000	4.688	5.625	24
NCIT:C3242	1	23400000	24400000	5.0	5.625	25
NCIT:C3242	1	24400000	25400000	6.25	8.438	26
NCIT:C3242	1	25400000	26400000	5.312	6.25	27
NCIT:C3242	1	26400000	27400000	5.938	5.938	28
NCIT:C3242	1	27400000	28400000	5.312	6.25	29
NCIT:C3242	1	28400000	29400000	4.688	6.25	30
NCIT:C3242	1	29400000	30400000	4.688	6.25	31
NCIT:C3242	1	30400000	31400000	4.688	6.562	32
NCIT:C3242	1	31400000	32400000	4.062	6.875	33
NCIT:C3242	1	32400000	33400000	3.75	6.875	34
NCIT:C3242	1	33400000	34400000	3.75	7.188	35
NCIT:C3242	1	34400000	35400000	3.75	7.812	36
NCIT:C3242	1	35400000	36400000	4.375	7.812	37
NCIT:C3242	1	36400000	37400000	4.062	7.188	38
NCIT:C3242	1	37400000	38400000	4.062	7.5	39
NCIT:C3242	1	38400000	39400000	4.062	7.188	40
NCIT:C3242	1	39400000	40400000	4.062	7.188	41
NCIT:C3242	1	40400000	41400000	4.062	6.562	42
NCIT:C3242	1	41400000	42400000	4.062	6.562	43
NCIT:C3242	1	42400000	43400000	4.062	7.812	44
