#meta=>genome_binning=1Mb;interval_number=3106
#group=>group_id=NCIT:C4878;label=Lung Carcinoma;dataset_id=progenetix;sample_count=9860
group_id	reference_name	start	end	gain_frequency	loss_frequency	no
NCIT:C4878	1	0	400000	2.241	2.738	1
NCIT:C4878	1	400000	1400000	7.475	7.86	2
NCIT:C4878	1	1400000	2400000	7.475	8.915	3
NCIT:C4878	1	2400000	3400000	11.998	15.72	4
NCIT:C4878	1	3400000	4400000	10.903	15.974	5
NCIT:C4878	1	4400000	5400000	10.568	16.034	6
NCIT:C4878	1	5400000	6400000	10.558	15.943	7
NCIT:C4878	1	6400000	7400000	10.538	15.923	8
NCIT:C4878	1	7400000	8400000	10.771	16.562	9
NCIT:C4878	1	8400000	9400000	10.112	15.751	10
NCIT:C4878	1	9400000	10400000	10.254	16.207	11
NCIT:C4878	1	10400000	11400000	10.152	16.126	12
NCIT:C4878	1	11400000	12400000	9.706	15.548	13
NCIT:C4878	1	12400000	13400000	9.899	15.903	14
NCIT:C4878	1	13400000	14400000	9.787	15.963	15
NCIT:C4878	1	14400000	15400000	10.02	15.761	16
NCIT:C4878	1	15400000	16400000	10.375	15.872	17
NCIT:C4878	1	16400000	17400000	11.075	16.623	18
NCIT:C4878	1	17400000	18400000	9.604	16.045	19
NCIT:C4878	1	18400000	19400000	9.635	16.126	20
NCIT:C4878	1	19400000	20400000	9.554	15.852	21
NCIT:C4878	1	20400000	21400000	9.533	15.771	22
NCIT:C4878	1	21400000	22400000	9.503	16.187	23
NCIT:C4878	1	22400000	23400000	9.067	15.761	24
NCIT:C4878	1	23400000	24400000	9.077	18.742	25
NCIT:C4878	1	24400000	25400000	9.32	19.706	26
NCIT:C4878	1	25400000	26400000	8.884	19.645	27
NCIT:C4878	1	26400000	27400000	9.402	18.935	28
NCIT:C4878	1	27400000	28400000	9.523	15.325	29
NCIT:C4878	1	28400000	29400000	9.615	15.507	30
NCIT:C4878	1	29400000	30400000	10.02	15.254	31
NCIT:C4878	1	30400000	31400000	10.314	14.757	32
NCIT:C4878	1	31400000	32400000	10.467	13.824	33
NCIT:C4878	1	32400000	33400000	10.548	13.438	34
NCIT:C4878	1	33400000	34400000	10.619	13.54	35
NCIT:C4878	1	34400000	35400000	11.237	14.249	36
NCIT:C4878	1	35400000	36400000	11.166	13.185	37
NCIT:C4878	1	36400000	37400000	11.298	13.519	38
NCIT:C4878	1	37400000	38400000	11.481	12.718	39
NCIT:C4878	1	38400000	39400000	12.14	12.434	40
NCIT:C4878	1	39400000	40400000	13.347	11.927	41
NCIT:C4878	1	40400000	41400000	12.627	11.836	42
NCIT:C4878	1	41400000	42400000	12.343	11.684	43
NCIT:C4878	1	42400000	43400000	12.596	11.755	44
NCIT:C4878	1	43400000	44400000	12.059	11.775	45
NCIT:C4878	1	44400000	45400000	12.008	12.191	46
NCIT:C4878	1	45400000	46400000	12.028	12.637	47
NCIT:C4878	1	46400000	47400000	10.609	12.252	48
