#meta=>genome_binning=1Mb;interval_number=3106
#group=>group_id=NCIT:C3288;label=Oligodendroglioma;dataset_id=progenetix;sample_count=598
group_id	reference_name	start	end	gain_frequency	loss_frequency	no
NCIT:C3288	1	0	400000	3.512	13.378	1
NCIT:C3288	1	400000	1400000	3.846	23.411	2
NCIT:C3288	1	1400000	2400000	4.013	26.254	3
NCIT:C3288	1	2400000	3400000	4.181	68.896	4
NCIT:C3288	1	3400000	4400000	4.181	67.224	5
NCIT:C3288	1	4400000	5400000	3.846	68.562	6
NCIT:C3288	1	5400000	6400000	3.846	67.893	7
NCIT:C3288	1	6400000	7400000	3.846	68.227	8
NCIT:C3288	1	7400000	8400000	3.846	70.234	9
NCIT:C3288	1	8400000	9400000	3.846	66.89	10
NCIT:C3288	1	9400000	10400000	3.846	70.067	11
NCIT:C3288	1	10400000	11400000	3.846	69.565	12
NCIT:C3288	1	11400000	12400000	3.846	69.398	13
NCIT:C3288	1	12400000	13400000	3.846	69.231	14
NCIT:C3288	1	13400000	14400000	3.846	69.064	15
NCIT:C3288	1	14400000	15400000	3.846	68.562	16
NCIT:C3288	1	15400000	16400000	3.846	68.562	17
NCIT:C3288	1	16400000	17400000	4.013	69.398	18
NCIT:C3288	1	17400000	18400000	4.013	68.896	19
NCIT:C3288	1	18400000	19400000	4.013	68.896	20
NCIT:C3288	1	19400000	20400000	4.181	68.896	21
NCIT:C3288	1	20400000	21400000	4.348	68.395	22
NCIT:C3288	1	21400000	22400000	4.348	68.562	23
NCIT:C3288	1	22400000	23400000	4.181	67.057	24
NCIT:C3288	1	23400000	24400000	4.515	68.06	25
NCIT:C3288	1	24400000	25400000	4.013	68.227	26
NCIT:C3288	1	25400000	26400000	3.846	68.227	27
NCIT:C3288	1	26400000	27400000	3.846	69.398	28
NCIT:C3288	1	27400000	28400000	3.846	68.896	29
NCIT:C3288	1	28400000	29400000	3.846	68.729	30
NCIT:C3288	1	29400000	30400000	3.846	68.395	31
NCIT:C3288	1	30400000	31400000	3.846	68.562	32
NCIT:C3288	1	31400000	32400000	3.846	68.395	33
NCIT:C3288	1	32400000	33400000	3.846	68.395	34
NCIT:C3288	1	33400000	34400000	4.013	68.227	35
NCIT:C3288	1	34400000	35400000	3.846	68.562	36
NCIT:C3288	1	35400000	36400000	3.846	68.896	37
NCIT:C3288	1	36400000	37400000	4.013	69.064	38
NCIT:C3288	1	37400000	38400000	4.013	68.227	39
NCIT:C3288	1	38400000	39400000	3.846	68.395	40
NCIT:C3288	1	39400000	40400000	3.846	68.729	41
NCIT:C3288	1	40400000	41400000	3.846	67.726	42
NCIT:C3288	1	41400000	42400000	3.846	67.726	43
NCIT:C3288	1	42400000	43400000	4.181	68.562	44
NCIT:C3288	1	43400000	44400000	4.181	67.893	45
NCIT:C3288	1	44400000	45400000	4.181	68.562	46
NCIT:C3288	1	45400000	46400000	4.013	68.562	47
NCIT:C3288	1	46400000	47400000	4.013	67.726	48
NCIT:C3288	1	47400000	48400000	4.013	67.391	49
NCIT:C3288	1	48400000	49400000	4.013	67.224	50
NCIT:C3288	1	49400000	50400000	4.013	67.224	51
NCIT:C3288	1	50400000	51400000	4.515	68.06	52
NCIT:C3288	1	51400000	52400000	3.846	67.224	53
NCIT:C3288	1	52400000	53400000	3.846	67.893	54
