#meta=>genome_binning=1Mb;interval_number=3106
#group=>group_id=NCIT:C4863;label=Prostate Carcinoma;dataset_id=progenetix;sample_count=4463
group_id	reference_name	start	end	gain_frequency	loss_frequency	no
NCIT:C4863	1	0	400000	4.683	5.758	1
NCIT:C4863	1	400000	1400000	6.767	7.865	2
NCIT:C4863	1	1400000	2400000	6.498	7.641	3
NCIT:C4863	1	2400000	3400000	6.386	10.464	4
NCIT:C4863	1	3400000	4400000	5.288	10.24	5
NCIT:C4863	1	4400000	5400000	4.033	10.419	6
NCIT:C4863	1	5400000	6400000	4.123	10.778	7
NCIT:C4863	1	6400000	7400000	4.123	10.665	8
NCIT:C4863	1	7400000	8400000	5.691	10.262	9
NCIT:C4863	1	8400000	9400000	4.705	9.948	10
NCIT:C4863	1	9400000	10400000	4.28	11.181	11
NCIT:C4863	1	10400000	11400000	4.929	10.957	12
NCIT:C4863	1	11400000	12400000	4.728	9.814	13
NCIT:C4863	1	12400000	13400000	8.694	14.34	14
NCIT:C4863	1	13400000	14400000	4.773	10.934	15
NCIT:C4863	1	14400000	15400000	4.392	8.806	16
NCIT:C4863	1	15400000	16400000	6.61	10.016	17
NCIT:C4863	1	16400000	17400000	12.816	19.762	18
NCIT:C4863	1	17400000	18400000	4.257	9.657	19
NCIT:C4863	1	18400000	19400000	4.504	9.859	20
NCIT:C4863	1	19400000	20400000	4.504	8.649	21
NCIT:C4863	1	20400000	21400000	4.369	8.671	22
NCIT:C4863	1	21400000	22400000	5.176	10.957	23
NCIT:C4863	1	22400000	23400000	4.078	8.94	24
NCIT:C4863	1	23400000	24400000	5.109	11.45	25
NCIT:C4863	1	24400000	25400000	9.343	14.116	26
NCIT:C4863	1	25400000	26400000	4.593	9.657	27
NCIT:C4863	1	26400000	27400000	4.504	10.016	28
NCIT:C4863	1	27400000	28400000	3.988	8.201	29
NCIT:C4863	1	28400000	29400000	3.563	8.134	30
NCIT:C4863	1	29400000	30400000	3.63	7.641	31
NCIT:C4863	1	30400000	31400000	3.899	7.663	32
NCIT:C4863	1	31400000	32400000	4.436	7.596	33
NCIT:C4863	1	32400000	33400000	4.1	6.879	34
NCIT:C4863	1	33400000	34400000	3.607	6.655	35
NCIT:C4863	1	34400000	35400000	3.764	7.641	36
NCIT:C4863	1	35400000	36400000	4.123	7.058	37
NCIT:C4863	1	36400000	37400000	3.54	6.946	38
NCIT:C4863	1	37400000	38400000	3.742	6.453	39
NCIT:C4863	1	38400000	39400000	3.697	6.296	40
NCIT:C4863	1	39400000	40400000	5.131	6.834	41
NCIT:C4863	1	40400000	41400000	3.809	6.274	42
NCIT:C4863	1	41400000	42400000	3.563	6.296	43
NCIT:C4863	1	42400000	43400000	3.832	6.856	44
NCIT:C4863	1	43400000	44400000	3.563	6.789	45
NCIT:C4863	1	44400000	45400000	3.876	7.349	46
NCIT:C4863	1	45400000	46400000	4.1	8.044	47
NCIT:C4863	1	46400000	47400000	3.383	7.977	48
NCIT:C4863	1	47400000	48400000	3.182	7.708	49
NCIT:C4863	1	48400000	49400000	3.025	7.573	50
NCIT:C4863	1	49400000	50400000	2.89	7.954	51
NCIT:C4863	1	50400000	51400000	4.392	8.716	52
NCIT:C4863	1	51400000	52400000	4.504	8.537	53
NCIT:C4863	1	52400000	53400000	4.414	8.694	54
NCIT:C4863	1	53400000	54400000	4.056	8.246	55
NCIT:C4863	1	54400000	55400000	4.436	8.671	56
NCIT:C4863	1	55400000	56400000	3.921	7.932	57
NCIT:C4863	1	56400000	57400000	4.19	8.492	58
NCIT:C4863	1	57400000	58400000	4.145	8.514	59
NCIT:C4863	1	58400000	59400000	4.974	9.388	60
NCIT:C4863	1	59400000	60400000	3.249	8.806	61
NCIT:C4863	1	60400000	61400000	3.204	9.075	62
NCIT:C4863	1	61400000	62400000	3.249	9.68	63
