#meta=>genome_binning=1Mb;interval_number=3106
#group=>group_id=NCIT:C4030;label=Urothelial Carcinoma;dataset_id=progenetix;sample_count=1836
group_id	reference_name	start	end	gain_frequency	loss_frequency	no
NCIT:C4030	1	0	400000	1.906	0.926	1
NCIT:C4030	1	400000	1400000	3.377	2.397	2
NCIT:C4030	1	1400000	2400000	4.357	2.669	3
NCIT:C4030	1	2400000	3400000	10.022	8.442	4
NCIT:C4030	1	3400000	4400000	9.314	8.66	5
NCIT:C4030	1	4400000	5400000	8.606	8.333	6
NCIT:C4030	1	5400000	6400000	8.715	8.115	7
NCIT:C4030	1	6400000	7400000	8.769	7.898	8
NCIT:C4030	1	7400000	8400000	10.131	7.68	9
NCIT:C4030	1	8400000	9400000	8.224	6.754	10
NCIT:C4030	1	9400000	10400000	8.442	8.66	11
NCIT:C4030	1	10400000	11400000	8.224	8.769	12
NCIT:C4030	1	11400000	12400000	8.007	7.407	13
NCIT:C4030	1	12400000	13400000	8.061	7.571	14
NCIT:C4030	1	13400000	14400000	8.061	7.68	15
NCIT:C4030	1	14400000	15400000	8.442	7.571	16
NCIT:C4030	1	15400000	16400000	8.878	7.516	17
NCIT:C4030	1	16400000	17400000	8.824	8.388	18
NCIT:C4030	1	17400000	18400000	8.442	7.026	19
NCIT:C4030	1	18400000	19400000	8.442	6.917	20
NCIT:C4030	1	19400000	20400000	8.115	6.863	21
NCIT:C4030	1	20400000	21400000	7.898	6.917	22
NCIT:C4030	1	21400000	22400000	8.007	7.081	23
NCIT:C4030	1	22400000	23400000	8.115	6.808	24
NCIT:C4030	1	23400000	24400000	8.66	8.497	25
NCIT:C4030	1	24400000	25400000	7.898	8.224	26
NCIT:C4030	1	25400000	26400000	7.244	8.878	27
NCIT:C4030	1	26400000	27400000	7.516	9.641	28
NCIT:C4030	1	27400000	28400000	6.645	7.789	29
NCIT:C4030	1	28400000	29400000	7.026	7.135	30
NCIT:C4030	1	29400000	30400000	6.863	6.699	31
NCIT:C4030	1	30400000	31400000	7.081	7.026	32
NCIT:C4030	1	31400000	32400000	6.917	6.264	33
NCIT:C4030	1	32400000	33400000	6.863	6.645	34
NCIT:C4030	1	33400000	34400000	6.917	6.373	35
NCIT:C4030	1	34400000	35400000	7.298	6.481	36
NCIT:C4030	1	35400000	36400000	7.462	6.318	37
NCIT:C4030	1	36400000	37400000	7.952	5.937	38
NCIT:C4030	1	37400000	38400000	8.333	4.793	39
NCIT:C4030	1	38400000	39400000	9.423	4.194	40
NCIT:C4030	1	39400000	40400000	12.527	4.194	41
NCIT:C4030	1	40400000	41400000	10.839	4.357	42
NCIT:C4030	1	41400000	42400000	10.458	4.085	43
NCIT:C4030	1	42400000	43400000	10.566	4.139	44
NCIT:C4030	1	43400000	44400000	9.423	4.139	45
NCIT:C4030	1	44400000	45400000	9.586	4.139	46
NCIT:C4030	1	45400000	46400000	10.675	4.684	47
NCIT:C4030	1	46400000	47400000	9.695	4.031	48
NCIT:C4030	1	47400000	48400000	9.967	4.248	49
NCIT:C4030	1	48400000	49400000	9.532	4.739	50
NCIT:C4030	1	49400000	50400000	9.368	4.521	51
NCIT:C4030	1	50400000	51400000	11.275	4.793	52
NCIT:C4030	1	51400000	52400000	10.349	4.847	53
NCIT:C4030	1	52400000	53400000	10.73	5.011	54
NCIT:C4030	1	53400000	54400000	10.73	4.956	55
NCIT:C4030	1	54400000	55400000	10.621	4.684	56
NCIT:C4030	1	55400000	56400000	10.294	4.575	57
NCIT:C4030	1	56400000	57400000	10.294	4.847	58
NCIT:C4030	1	57400000	58400000	10.403	4.793	59
NCIT:C4030	1	58400000	59400000	11.111	5.501	60
NCIT:C4030	1	59400000	60400000	8.715	5.283	61
NCIT:C4030	1	60400000	61400000	8.715	5.283	62
NCIT:C4030	1	61400000	62400000	8.388	5.664	63
NCIT:C4030	1	62400000	63400000	8.17	5.828	64
NCIT:C4030	1	63400000	64400000	8.061	5.338	65
NCIT:C4030	1	64400000	65400000	8.224	6.1	66
NCIT:C4030	1	65400000	66400000	7.789	6.046	67
NCIT:C4030	1	66400000	67400000	7.843	6.264	68
NCIT:C4030	1	67400000	68400000	8.007	6.155	69
NCIT:C4030	1	68400000	69400000	8.224	6.155	70
NCIT:C4030	1	69400000	70400000	8.007	6.1	71
NCIT:C4030	1	70400000	71400000	7.843	7.516	72
NCIT:C4030	1	71400000	72400000	10.185	10.076	73
NCIT:C4030	1	72400000	73400000	8.17	6.209	74
NCIT:C4030	1	73400000	74400000	8.224	6.427	75
NCIT:C4030	1	74400000	75400000	8.224	6.481	76
NCIT:C4030	1	75400000	76400000	8.333	6.155	77
NCIT:C4030	1	76400000	77400000	8.824	6.046	78
NCIT:C4030	1	77400000	78400000	8.878	6.645	79
NCIT:C4030	1	78400000	79400000	8.17	6.1	80
NCIT:C4030	1	79400000	80400000	8.007	6.209	81
NCIT:C4030	1	80400000	81400000	8.007	6.373	82
NCIT:C4030	1	81400000	82400000	8.061	6.373	83
NCIT:C4030	1	82400000	83400000	7.898	6.699	84
